algorithm,distribution,n,trial,timeNanos,comparisons,shifts,arrayAccesses
InsertionSort,random,100,0,61500,527,2272,5264
InsertionSort,random,100,1,127800,535,2190,5109
InsertionSort,random,100,2,34500,530,2144,5015
InsertionSort,random,100,3,51100,536,2795,6320
InsertionSort,random,100,4,21400,527,2478,5674
InsertionSort,sorted,100,0,9800,573,0,672
InsertionSort,sorted,100,1,11000,573,0,672
InsertionSort,sorted,100,2,10100,573,0,672
InsertionSort,sorted,100,3,12100,573,0,672
InsertionSort,sorted,100,4,11000,573,0,672
InsertionSort,reverse,100,0,28900,480,4950,10578
InsertionSort,reverse,100,1,19400,480,4950,10578
InsertionSort,reverse,100,2,18600,480,4950,10578
InsertionSort,reverse,100,3,97000,480,4950,10578
InsertionSort,reverse,100,4,55800,480,4950,10578
InsertionSort,nearly-sorted,100,0,29100,572,107,939
InsertionSort,nearly-sorted,100,1,19200,573,165,1085
InsertionSort,nearly-sorted,100,2,13500,573,43,780
InsertionSort,nearly-sorted,100,3,11100,572,17,714
InsertionSort,nearly-sorted,100,4,25500,573,147,1040
InsertionSort,random,1000,0,298500,8608,251748,514099
InsertionSort,random,1000,1,324400,8578,248966,508500
InsertionSort,random,1000,2,300700,8611,249863,510327
InsertionSort,random,1000,3,288400,8602,245941,502475
InsertionSort,random,1000,4,312000,8587,246785,504143
InsertionSort,sorted,1000,0,52200,8977,0,9976
InsertionSort,sorted,1000,1,61100,8977,0,9976
InsertionSort,sorted,1000,2,124400,8977,0,9976
InsertionSort,sorted,1000,3,54600,8977,0,9976
InsertionSort,sorted,1000,4,56800,8977,0,9976
InsertionSort,reverse,1000,0,321200,7987,499500,1008985
InsertionSort,reverse,1000,1,378900,7987,499500,1008985
InsertionSort,reverse,1000,2,307800,7987,499500,1008985
InsertionSort,reverse,1000,3,281500,7987,499500,1008985
InsertionSort,reverse,1000,4,275400,7987,499500,1008985
InsertionSort,nearly-sorted,1000,0,126900,8659,5652,21779
InsertionSort,nearly-sorted,1000,1,188400,8674,6774,24184
InsertionSort,nearly-sorted,1000,2,133500,8729,7670,25938
InsertionSort,nearly-sorted,1000,3,157600,8683,7194,24935
InsertionSort,nearly-sorted,1000,4,193900,8669,5902,22418
InsertionSort,random,10000,0,1933400,119053,25051155,50241347
InsertionSort,random,10000,1,1875200,118929,24896490,49931899
InsertionSort,random,10000,2,1936300,119008,25086244,50311486
InsertionSort,random,10000,3,1890500,118995,24894772,49928522
InsertionSort,random,10000,4,1868500,119030,24725429,49589872
InsertionSort,sorted,10000,0,137600,123617,0,133616
InsertionSort,sorted,10000,1,144700,123617,0,133616
InsertionSort,sorted,10000,2,137600,123617,0,133616
InsertionSort,sorted,10000,3,168400,123617,0,133616
InsertionSort,sorted,10000,4,137400,123617,0,133616
InsertionSort,reverse,10000,0,2784900,113631,49995000,100123629
InsertionSort,reverse,10000,1,2976800,113631,49995000,100123629
InsertionSort,reverse,10000,2,2966500,113631,49995000,100123629
InsertionSort,reverse,10000,3,2913700,113631,49995000,100123629
InsertionSort,reverse,10000,4,2803700,113631,49995000,100123629
InsertionSort,nearly-sorted,10000,0,239300,119600,643086,1425735
InsertionSort,nearly-sorted,10000,1,230200,119165,648592,1436270
InsertionSort,nearly-sorted,10000,2,224200,119705,634410,1408391
InsertionSort,nearly-sorted,10000,3,225900,119759,657694,1455049
InsertionSort,nearly-sorted,10000,4,225700,119304,616832,1372934
InsertionSort,random,100000,0,163222900,1522690,2494194206,4990111091
InsertionSort,random,100000,1,163910500,1522700,2502649902,5007022490
InsertionSort,random,100000,2,161211600,1522645,2487934416,4977591463
InsertionSort,random,100000,3,157218500,1522921,2495972016,4993666940
InsertionSort,random,100000,4,163275900,1522759,2499923177,5001569100
InsertionSort,sorted,100000,0,1516800,1568929,0,1668928
InsertionSort,sorted,100000,1,1881000,1568929,0,1668928
InsertionSort,sorted,100000,2,1651100,1568929,0,1668928
InsertionSort,sorted,100000,3,1513800,1568929,0,1668928
InsertionSort,sorted,100000,4,1502700,1568929,0,1668928
InsertionSort,reverse,100000,0,322000500,1468946,4999950000,10001568944
InsertionSort,reverse,100000,1,336084600,1468946,4999950000,10001568944
InsertionSort,reverse,100000,2,326851300,1468946,4999950000,10001568944
InsertionSort,reverse,100000,3,315616200,1468946,4999950000,10001568944
InsertionSort,reverse,100000,4,311214100,1468946,4999950000,10001568944
InsertionSort,nearly-sorted,100000,0,5080900,1524772,64432136,130588825
InsertionSort,nearly-sorted,100000,1,5275600,1521369,68787132,139295541
InsertionSort,nearly-sorted,100000,2,5236000,1523501,63869458,129462334
InsertionSort,nearly-sorted,100000,3,5238200,1521705,62676362,127074406
InsertionSort,nearly-sorted,100000,4,7040600,1522994,65692374,133107660
